"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
1,0,3,2,22,1,0,7.25,4
2,1,1,1,38,1,0,71.2833,2
7,0,1,2,54,0,0,51.8625,4
8,0,3,2,2,3,1,21.075,4
9,1,3,1,27,0,2,11.1333,4
10,1,2,1,14,1,0,30.0708,2
11,1,3,1,4,1,1,16.7,4
15,0,3,1,14,0,0,7.8542,4
17,0,3,2,2,4,1,29.125,3
19,0,3,1,31,1,0,18,4
21,0,2,2,35,0,0,26,4
22,1,2,2,34,0,0,13,4
23,1,3,1,15,0,0,8.0292,3
28,0,1,2,19,3,2,263,4
31,0,1,2,40,0,0,27.7208,2
34,0,2,2,66,0,0,10.5,4
35,0,1,2,28,1,0,82.1708,2
36,0,1,2,42,1,0,52,4
38,0,3,2,21,0,0,8.05,4
40,1,3,1,14,1,0,11.2417,2
41,0,3,1,40,1,0,9.475,4
45,1,3,1,19,0,0,7.8792,3
50,0,3,1,18,1,0,17.8,4
51,0,3,2,7,4,1,39.6875,4
54,1,2,1,29,1,0,26,4
55,0,1,2,65,0,1,61.9792,2
58,0,3,2,28.5,0,0,7.2292,2
59,1,2,1,5,1,2,27.75,4
62,1,1,1,38,0,0,80,1
64,0,3,2,4,3,2,27.9,4
68,0,3,2,19,0,0,8.1583,4
69,1,3,1,17,4,2,7.925,4
70,0,3,2,26,2,0,8.6625,4
71,0,2,2,32,0,0,10.5,4
72,0,3,1,16,5,2,46.9,4
74,0,3,2,26,1,0,14.4542,2
75,1,3,2,32,0,0,56.4958,4
79,1,2,2,0.83,0,2,29,4
80,1,3,1,30,0,0,12.475,4
81,0,3,2,22,0,0,9,4
82,1,3,2,29,0,0,9.5,4
84,0,1,2,28,0,0,47.1,4
85,1,2,1,17,0,0,10.5,4
86,1,3,1,33,3,0,15.85,4
87,0,3,2,16,1,3,34.375,4
93,0,1,2,46,1,0,61.175,4
94,0,3,2,26,1,2,20.575,4
95,0,3,2,59,0,0,7.25,4
98,1,1,2,23,0,1,63.3583,2
99,1,2,1,34,0,1,23,4
103,0,1,2,21,0,1,77.2875,4
105,0,3,2,37,2,0,7.925,4
106,0,3,2,28,0,0,7.8958,4
111,0,1,2,47,0,0,52,4
112,0,3,1,14.5,1,0,14.4542,2
113,0,3,2,22,0,0,8.05,4
115,0,3,1,17,0,0,14.4583,2
117,0,3,2,70.5,0,0,7.75,3
118,0,2,2,29,1,0,21,4
120,0,3,1,2,4,2,31.275,4
123,0,2,2,32.5,1,0,30.0708,2
124,1,2,1,32.5,0,0,13,4
126,1,3,2,12,1,0,11.2417,2
128,1,3,2,24,0,0,7.1417,4
130,0,3,2,45,0,0,6.975,4
131,0,3,2,33,0,0,7.8958,2
133,0,3,1,47,1,0,14.5,4
134,1,2,1,29,1,0,26,4
135,0,2,2,25,0,0,13,4
136,0,2,2,23,0,0,15.0458,2
137,1,1,1,19,0,2,26.2833,4
138,0,1,2,37,1,0,53.1,4
139,0,3,2,16,0,0,9.2167,4
142,1,3,1,22,0,0,7.75,4
145,0,2,2,18,0,0,11.5,4
148,0,3,1,9,2,2,34.375,4
149,0,2,2,36.5,0,2,26,4
152,1,1,1,22,1,0,66.6,4
153,0,3,2,55.5,0,0,8.05,4
154,0,3,2,40.5,0,2,14.5,4
156,0,1,2,51,0,1,61.3792,2
158,0,3,2,30,0,0,8.05,4
161,0,3,2,44,0,1,16.1,4
162,1,2,1,40,0,0,15.75,4
163,0,3,2,26,0,0,7.775,4
164,0,3,2,17,0,0,8.6625,4
166,1,3,2,9,0,2,20.525,4
168,0,3,1,45,1,4,27.9,4
170,0,3,2,28,0,0,56.4958,4
172,0,3,2,4,4,1,29.125,3
173,1,3,1,1,1,1,11.1333,4
175,0,1,2,56,0,0,30.6958,2
176,0,3,2,18,1,1,7.8542,4
178,0,1,1,50,0,0,28.7125,2
179,0,2,2,30,0,0,13,4
183,0,3,2,9,4,2,31.3875,4
185,1,3,1,4,0,2,22.025,4
191,1,2,1,32,0,0,13,4
192,0,2,2,19,0,0,13,4
193,1,3,1,19,1,0,7.8542,4
194,1,2,2,3,1,1,26,4
195,1,1,1,44,0,0,27.7208,2
196,1,1,1,58,0,0,146.5208,2
198,0,3,2,42,0,1,8.4042,4
200,0,2,1,24,0,0,13,4
201,0,3,2,28,0,0,9.5,4
203,0,3,2,34,0,0,6.4958,4
206,0,3,1,2,0,1,10.4625,4
207,0,3,2,32,1,0,15.85,4
208,1,3,2,26,0,0,18.7875,2
210,1,1,2,40,0,0,31,2
211,0,3,2,24,0,0,7.05,4
212,1,2,1,35,0,0,21,4
213,0,3,2,22,0,0,7.25,4
214,0,2,2,30,0,0,13,4
217,1,3,1,27,0,0,7.925,4
219,1,1,1,32,0,0,76.2917,2
220,0,2,2,30,0,0,10.5,4
221,1,3,2,16,0,0,8.05,4
222,0,2,2,27,0,0,13,4
223,0,3,2,51,0,0,8.05,4
229,0,2,2,18,0,0,13,4
231,1,1,1,35,1,0,83.475,4
232,0,3,2,29,0,0,7.775,4
233,0,2,2,59,0,0,13.5,4
237,0,2,2,44,1,0,26,4
239,0,2,2,19,0,0,10.5,4
243,0,2,2,29,0,0,10.5,4
245,0,3,2,30,0,0,7.225,2
247,0,3,1,25,0,0,7.775,4
248,1,2,1,24,0,2,14.5,4
250,0,2,2,54,1,0,26,4
252,0,3,1,29,1,1,10.4625,4
253,0,1,2,62,0,0,26.55,4
255,0,3,1,41,0,2,20.2125,4
256,1,3,1,29,0,2,15.2458,2
258,1,1,1,30,0,0,86.5,4
259,1,1,1,35,0,0,512.3292,2
260,1,2,1,50,0,1,26,4
262,1,3,2,3,4,2,31.3875,4
263,0,1,2,52,1,1,79.65,4
264,0,1,2,40,0,0,0,4
267,0,3,2,16,4,1,39.6875,4
270,1,1,1,35,0,0,135.6333,4
273,1,2,1,41,0,1,19.5,4
274,0,1,2,37,0,1,29.7,2
277,0,3,1,45,0,0,7.75,4
280,1,3,1,35,1,1,20.25,4
282,0,3,2,28,0,0,7.8542,4
283,0,3,2,16,0,0,9.5,4
286,0,3,2,33,0,0,8.6625,2
287,1,3,2,30,0,0,9.5,4
291,1,1,1,26,0,0,78.85,4
293,0,2,2,36,0,0,12.875,2
297,0,3,2,23.5,0,0,7.2292,2
298,0,1,1,2,1,2,151.55,4
300,1,1,1,50,0,1,247.5208,2
308,1,1,1,17,1,0,108.9,2
309,0,2,2,30,1,0,24,2
312,1,1,1,18,2,2,262.375,2
313,0,2,1,26,1,1,26,4
314,0,3,2,28,0,0,7.8958,4
317,1,2,1,24,1,0,26,4
320,1,1,1,40,1,1,134.5,2
321,0,3,2,22,0,0,7.25,4
323,1,2,1,30,0,0,12.35,3
324,1,2,1,22,1,1,29,4
326,1,1,1,36,0,0,135.6333,2
327,0,3,2,61,0,0,6.2375,4
329,1,3,1,31,1,1,20.525,4
330,1,1,1,16,0,1,57.9792,2
332,0,1,2,45.5,0,0,28.5,4
334,0,3,2,16,2,0,18,4
338,1,1,1,41,0,0,134.5,2
339,1,3,2,45,0,0,8.05,4
341,1,2,2,2,1,1,26,4
342,1,1,1,24,3,2,263,4
343,0,2,2,28,0,0,13,4
344,0,2,2,25,0,0,13,4
345,0,2,2,36,0,0,13,4
346,1,2,1,24,0,0,13,4
350,0,3,2,42,0,0,8.6625,4
353,0,3,2,15,1,1,7.2292,2
354,0,3,2,25,1,0,17.8,4
358,0,2,1,38,0,0,13,4
361,0,3,2,40,1,4,27.9,4
362,0,2,2,29,1,0,27.7208,2
363,0,3,1,45,0,1,14.4542,2
364,0,3,2,35,0,0,7.05,4
366,0,3,2,30,0,0,7.25,4
370,1,1,1,24,0,0,69.3,2
371,1,1,2,25,1,0,55.4417,2
373,0,3,2,19,0,0,8.05,4
374,0,1,2,22,0,0,135.6333,2
375,0,3,1,3,3,1,21.075,4
377,1,3,1,22,0,0,7.25,4
378,0,1,2,27,0,2,211.5,2
379,0,3,2,20,0,0,4.0125,2
380,0,3,2,19,0,0,7.775,4
381,1,1,1,42,0,0,227.525,2
383,0,3,2,32,0,0,7.925,4
384,1,1,1,35,1,0,52,4
387,0,3,2,1,5,2,46.9,4
388,1,2,1,36,0,0,13,4
390,1,2,1,17,0,0,12,2
391,1,1,2,36,1,2,120,4
392,1,3,2,21,0,0,7.7958,4
393,0,3,2,28,2,0,7.925,4
394,1,1,1,23,1,0,113.275,2
395,1,3,1,24,0,2,16.7,4
396,0,3,2,22,0,0,7.7958,4
397,0,3,1,31,0,0,7.8542,4
398,0,2,2,46,0,0,26,4
400,1,2,1,28,0,0,12.65,4
402,0,3,2,26,0,0,8.05,4
403,0,3,1,21,1,0,9.825,4
404,0,3,2,28,1,0,15.85,4
406,0,2,2,34,1,0,21,4
407,0,3,2,51,0,0,7.75,4
408,1,2,2,3,1,1,18.75,4
415,1,3,2,44,0,0,7.925,4
417,1,2,1,34,1,1,32.5,4
419,0,2,2,30,0,0,13,4
420,0,3,1,10,0,2,24.15,4
422,0,3,2,21,0,0,7.7333,3
424,0,3,1,28,1,1,14.4,4
425,0,3,2,18,1,1,20.2125,4
427,1,2,1,28,1,0,26,4
428,1,2,1,19,0,0,26,4
430,1,3,2,32,0,0,8.05,4
431,1,1,2,28,0,0,26.55,4
433,1,2,1,42,1,0,26,4
435,0,1,2,50,1,0,55.9,4
436,1,1,1,14,1,2,120,4
